año;mes;id_vu;razon_social;rut_razon_social;nombre_establecimiento;rubro;rubro_id;ciiu4;ciiu4_id;ciiu6;ciiu6_id;region;region_id;provincia;comuna;codigo_unico_territorial;latitud;longitud;rol_establecimiento;declaracion_id;tipo_recepcion;cantidad_toneladas;tratamiento_n1_id;tratamiento_n1_name;tratamiento_n2_id;tratamiento_n2_name;tratamiento_n3_id;tratamiento_n3_name;ler;ler_numero;ler_capitulo;ler_numero_capitulo;ler_subcapitulo;ler_numero_subcapitulo;trazabilidad__id_vu;trazabilidad__nombre_establecimiento;trazabilidad__razon_social;trazabilidad__comuna;trazabilidad__region;trazabilidad__pais
2014;0;5402124;CERMAQ CHILE S.A.;79784980-4;CALEN 1 100591;Pesca y acuicultura;;Acuicultura marina;A0321;Cultivo y crianza de peces marinos;A032110;Los Lagos;10;Chiloé;Dalcahue;10205;-42,32676116;-73,43971994;Generador Industrial;;;420;2;Valorización;7;Preparación para reutilización;;;Residuos no especificados en otra categoría;20199;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;317561;PESQUERA LA PORTADA;PESQUERA LA PORTADA S A;San Antonio;Valparaíso;Chile
2014;0;4585708;C DE A INGENIERIA LIMITADA;78922590-7;PLANTA COLINA;Otras industrias manufactureras;;Fabricación de otros productos elaborados de metal n.c.p.;C2599;Fabricación de otros productos elaborados de metal n.c.p.;C259900;Metropolitana de Santiago;13;Chacabuco;Colina;13301;-33,30919938;-70,70445764;Generador Industrial;;;420;2;Valorización;8;Reciclaje;20;Reciclaje de metales;Residuos no especificados en otra categoría;120199;Residuos del moldeado y del tratamiento físico y mecánico de superficie de metales y plásticos;12;Residuos del moldeado y tratamiento físico y mecánico de superficie de metales y plásticos;1;4989;PLANTA COLINA;GERDAU AZA S A;Renca;Metropolitana de Santiago;Chile
2014;0;5861;SITRANS SERVICIOS INTEGRADOS DE TRANSPORTES LIMITADA;96500950-7;SERVICIOS INTEGRADOS DE TRANSPORTES S.A.;Otras actividades;;Transporte de carga por carretera;H4923;Transporte de carga por carretera;H492300;Metropolitana de Santiago;13;Maipo;San Bernardo;13401;-33,5510433;-70,69960707;Generador Industrial;;;420;1;Eliminación;3;Disposición final;11;Relleno sanitario;Residuos biodegradables de cocinas y restaurantes;200108;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;97614;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;San Bernardo;Metropolitana de Santiago;Chile
2014;0;4418;FAENADORA Y FRIGORIFICO CORDILLERA SA;96587230-2;FAENADORA Y FRIG. CORDILLERA S.A.;Producción agropecuaria;;Actividades de apoyo a la agricultura;A0161;Actividades de apoyo a la agricultura;A016100;Metropolitana de Santiago;13;Cordillera;Puente Alto;13201;-33,598328;-70,5782002;Generador Industrial;;;420;;;;;;;Residuos no especificados en otra categoría;20299;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;2;;;PROACTIVA;;;
2014;0;1964;PREMIUM S.A.;79635190-K;FÁBRICA CERILLOS;Otras industrias manufactureras;;Elaboración de comidas y platos preparados;C1075;Elaboración de comidas y platos preparados envasados, rotulados y con información nutricional;C107500;Metropolitana de Santiago;13;Santiago;Cerrillos;13102;-33,48857139;-70,70513357;Generador Industrial;;;419,76;2;Valorización;8;Reciclaje;27;Compostaje;Residuos no especificados en otra categoría;20299;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;2;5453558;RECICLAJES INDUSTRIALES SA;RECICLAJES INDUSTRIALES S A;Las Condes;Metropolitana de Santiago;Chile
2014;0;5463970;CONSTRUCTORA ALMAHUE S.A.;76116237-3;EDIFICIO DEPARTAMENTOS LYON BUSTOS;Construcción;;Construcción de edificios para uso residencial y no residencial;F4100;Construcción de edificios para uso residencial;F410010;Metropolitana de Santiago;13;Santiago;Providencia;13123;-33,44028696;-70,60317104;Generador Industrial;;;419;;;;;;;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;170107;Residuos de la construcción y demolición ;17;Hormigón, ladrillos, tejas y materiales cerámicos;1;;;COMERCIAL SAEZ Y CIUDAD S.A.;;;
2014;0;11465;MERMELADAS MEL LTDA;78304700-4;MEL ALIMENTOS SPA;Otras industrias manufactureras;;Elaboración y conservación de frutas, legumbres y hortalizas;C1030;Elaboración y conservación de frutas, legumbres y hortalizas;C103000;Metropolitana de Santiago;13;Santiago;Huechuraba;13107;-33,37129912;-70,64771356;Generador Industrial;;;418,96;1;Eliminación;3;Disposición final;11;Relleno sanitario;Residuos de conservantes;20302;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;"Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas";3;97614;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;San Bernardo;Metropolitana de Santiago;Chile
2014;0;4588652;SOCIEDAD RECUPERADORA CHILE METAL LIMITADA;76105676-K;CHILE METAL LTDA;Gestores de residuos;;Recuperación de materiales;E3830;Recuperación y reciclamiento de desperdicios y desechos metálicos;E383001;Valparaíso;5;San Antonio;San Antonio;5601;-33,57744999;-71,53460622;Generador Industrial;;;417,93;1;Eliminación;3;Disposición final;11;Relleno sanitario;Lodos de tratamientos físicoquímicos, distintos de los especificados en el código 19 02 05;190206;Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial;19;Residuos de tratamientos físicoquímicos de residuos (incluidas la descromatación, descianuración y neutralización);2;5452216;RELLENO SANITARIO EL MOLLE;GESTION INTEGRAL DE RESIDUOS S A;Valparaíso;Valparaíso;Chile
2014;0;2886;CARTULINAS CMPC S A;96731890-6;CARTULINAS CMPC PLANTA MAULE;Industria del papel y celulosa;;Fabricación de otros artículos de papel y cartón;C1709;Fabricación de otros artículos de papel y cartón;C170900;Maule;7;Linares;Yerbas Buenas;7408;-35,60735526;-71,58941369;Generador Industrial;;;417;;;;;;;Metales;200140;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;;;JAIRO MOSQUERA OTERO;;;
2014;0;3521946;EASY S A;96671750-5;EASY LA SERENA;Comercio minorista;;Venta al por menor de artículos de ferretería, pinturas y productos de vidrio en comercios especializados;G4752;Venta al por menor de artículos de ferretería y materiales de construcción;;Coquimbo;4;Elqui;La Serena;4101;-29,90630465;-71,25020565;Generador Industrial;;;415,6;;;;;;;Mezclas de residuos municipales;200301;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Otros residuos municipales;3;;;ECOSER S.A.;;;
2014;0;5441918;OCCIDENTAL CHEMICAL CHILE LIMITADA;93797000-5;OCCIDENTAL CHEMICAL CHILE LIMITADA;Industria química, de plástico y caucho;;Fabricación de sustancias químicas básicas;C2011;Fabricación de otras sustancias químicas básicas n.c.p.;C201109;Biobío;8;Concepción;Talcahuano;8110;-36,76287998;-73,12594428;Generador Industrial;;;414,95;1;Eliminación;3;Disposición final;11;Relleno sanitario;Residuos no especificados en otra categoría;61399;Residuos de procesos químicos inorgánicos;6;Residuos de procesos químicos inorgánicos no especificados en otra categoría;13;244575;ECOBIO;ECOBIO SA;Chillán Viejo;Ñuble;Chile
2014;0;322365;CIA MINERA MARICUNGA;76038806-8;MINA REFUGIO;Minería;;Extracción de otros minerales metalíferos no ferrosos, excepto cobre;B0729;Extracción de oro y plata;B072910;Atacama;3;Copiapó;Tierra Amarilla;3103;-27,56825636;-69,26777948;Generador Industrial;;;413,9;;;;;;;Mezclas de residuos municipales;200301;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Otros residuos municipales;3;;;COSEMAR S.A.;;;
2014;0;5403007;VINA CONCHA Y TORO S A;90227000-0;VIÑA CONCHA Y TORO S A PLANTA PIRQUE;Otras industrias manufactureras;;Elaboración de vinos;C1102;Elaboración de vinos;C110200;Metropolitana de Santiago;13;Cordillera;Pirque;13202;-33,63779078;-70,58389013;Generador Industrial;;;413,03;2;Valorización;8;Reciclaje;19;Reciclaje de vidrio;Residuos no especificados en otra categoría;20799;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);7;2372;CRISTALERIAS DE CHILE  S A;CRISTALERIAS DE CHILE S A;Padre Hurtado;Metropolitana de Santiago;Chile
2014;0;5441823;CONGELADOS Y CONSERVAS FITZ ROY S A;96949830-8;FITZ ROY;Pesca y acuicultura;;Acuicultura marina;A0321;Cultivo y crianza de peces marinos;A032110;Los Lagos;10;Llanquihue;Calbuco;10102;-41,77969637;-73,13367147;Generador Industrial;;;413;;;;;;;Lodos del tratamiento in situ de efluentes;20204;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;2;;;ASESORÍA LOS OLIVOS;;;
2014;0;9898;CMPC TISSUE S A;96529310-8;PLANTA TISSUE TALAGANTE;Industria del papel y celulosa;;Fabricación de otros artículos de papel y cartón;C1709;Fabricación de otros artículos de papel y cartón;C170900;Metropolitana de Santiago;13;Talagante;Talagante;13601;-33,70091461;-70,9336289;Generador Industrial;;;411,89;1;Eliminación;3;Disposición final;11;Relleno sanitario;Residuos biodegradables de cocinas y restaurantes;200108;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;78709;RELLENO SANITARIO SANTIAGO PONIENTE;VEOLIA SU CHILE SA;Las Condes;Metropolitana de Santiago;Chile
2014;0;5457881;SOPRAVAL S A;82366700-0;SECTOR LOS BOLDOS;Producción agropecuaria;;Cría de camellos y otros camélidos;A0143;Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos;A014300;Valparaíso;5;Quillota;Nogales;5506;-32,69388185;-71,18664907;Generador Industrial;;;411,54;;;;;;;Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan;20106;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;;;EISA;;;
2014;0;5466665;ALUMA SYSTEMS SERVICIOS CHILE LIMITADA;76643630-7;ALUMA SYSTEMS SERVICIOS CHILE LTDA;Otras actividades;;Otras actividades de servicios personales n.c.p.;S9609;Otras actividades de servicios personales n.c.p.;S960909;Metropolitana de Santiago;13;Santiago;Pudahuel;13124;-33,3825402;-70,77617849;Generador Industrial;;;411,5;2;Valorización;7;Preparación para reutilización;;;Serrín, virutas, recortes, madera, tableros de partículas y chapas distintos de los mencionados en el código 03 01 04;30105;Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;3;Residuos de la transformación de la madera y de la producción de tableros y muebles;1;5461587;TIRSA LONGITUDINAL SUR KM 63 SN MOSTAZAL;TIRSA S A;Huechuraba;Metropolitana de Santiago;Chile
2014;0;2694;VINA FRANCISCO DE AGUIRRE S A;96668670-7;VIÑA FRANCISCO DE AGUIRRE SA;Otras industrias manufactureras;;Elaboración de vinos;C1102;Elaboración de vinos;C110200;Coquimbo;4;Limarí;Ovalle;4301;-30,62290249;-71,22061693;Generador Industrial;;;410;2;Valorización;8;Reciclaje;27;Compostaje;Residuos de lavado, limpieza y reducción mecánica de materias primas;20701;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);7;4587259;PUNITAQUI;COOP AGRICOLA PISQUERA ELQUI LTDA;Vicuña;Coquimbo;Chile
2014;0;4586040;INDURA S.A.;76150343-K;INDURA CONCHALI;Industria química, de plástico y caucho;;Fabricación de otros productos químicos n.c.p.;C2029;Fabricación de otros productos químicos n.c.p.;C202909;Metropolitana de Santiago;13;Santiago;Conchalí;13104;-33,38039782;-70,69266709;Generador Industrial;;;407;;;;;;;Residuos no especificados en otra categoría;61399;Residuos de procesos químicos inorgánicos;6;Residuos de procesos químicos inorgánicos no especificados en otra categoría;13;;;IDEA CORP;;;
2014;0;5457898;SOPRAVAL S A;82366700-0;SECTOR EL ROSARIO;Producción agropecuaria;;Cría de camellos y otros camélidos;A0143;Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos;A014300;Valparaíso;5;Quillota;Nogales;5506;-32,72237105;-71,24019466;Generador Industrial;;;406,68;;;;;;;Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan;20106;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;;;EISA;;;
2014;0;246285;ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA;76134941-4;LIDER MATUCANA;Comercio minorista;;Venta al por menor de alimentos en comercios especializados;G4721;Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket);G472101;Metropolitana de Santiago;13;Santiago;Santiago;13101;-33,43303933;-70,68057725;Generador Industrial;;;406,3;1;Eliminación;3;Disposición final;11;Relleno sanitario;Residuos voluminosos (incluidos muebles);200307;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Otros residuos municipales;3;97614;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;San Bernardo;Metropolitana de Santiago;Chile
2014;0;362096;RENDIC HERMANOS S A;81537600-5;COVIEFI;Comercio minorista;;Venta al por menor de alimentos en comercios especializados;G4721;Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket);G472101;Antofagasta;2;Antofagasta;Antofagasta;2101;-23,69270204;-70,41003931;Generador Industrial;;;406;;;;;;;Mezclas de residuos municipales;200301;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Otros residuos municipales;3;;;VERTEDERO MUNICIPAL DE ANTOFAGASTA;;;
2014;0;4585825;SOPRAVAL S A;82366700-0;GRANJA TALANQUEN;Producción agropecuaria;;Cría de camellos y otros camélidos;A0143;Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos;A014300;Valparaíso;5;Petorca;La Ligua;5401;-32,52918318;-71,25705849;Generador Industrial;;;405,6;;;;;;;Residuos de tejidos de animales;20102;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;;;SOCIEDAD IMPORTADORA Y EXPORTADORA PROEX LTDA.;;;
2014;0;246076;ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA;76134941-4;LIDER HUECHURABA;Comercio minorista;;Venta al por menor de alimentos en comercios especializados;G4721;Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket);G472101;Metropolitana de Santiago;13;Santiago;Huechuraba;13107;-33,36792308;-70,67757194;Generador Industrial;;;404,2;2;Valorización;8;Reciclaje;16;Reciclaje de papel, cartón y productos de papel;Papel y cartón;200101;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;5459117;SOREPA;SOC RECUPERADORA DE PAPEL S A;San Joaquín;Metropolitana de Santiago;Chile
2014;0;82979;VINA SAN PEDRO TARAPACA S.A.;91041000-8;VIÑA SAN PEDRO TARAPACÁ SA;Otras industrias manufactureras;;Elaboración de vinos;C1102;Elaboración de vinos;C110200;Maule;7;Curicó;Molina;7304;-35,09246026;-71,32378199;Generador Industrial;;;404,2;;;;;;;Residuos no especificados en otra categoría;20799;"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);7;;;SOCIEDAD ARQUITECTURA Y PAISAJISMO RÍO MAULE LTDA.;;;
2014;0;5441070;ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA;76134941-4;LIDER  CONCEPCION;Comercio minorista;;Venta al por menor de alimentos en comercios especializados;G4721;Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket);G472101;Biobío;8;Concepción;Concepción;8101;-36,82935023;-73,06001057;Generador Industrial;;;404,1;2;Valorización;8;Reciclaje;16;Reciclaje de papel, cartón y productos de papel;Papel y cartón;200101;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;5441937;FORESTAL Y PAPELERA CONCEPCION S A;FORESTAL Y PAPELERA CONCEPCION S A;Coronel;Biobío;Chile
2014;0;3689;SISTEMAS GRAFICOS QUILICURA S A;90106000-2;SISTEMAS GRAFICOS QUILICURA S.A.;Otras industrias manufactureras;;Impresión;C1811;Impresión de libros;C181101;Metropolitana de Santiago;13;Santiago;Quilicura;13125;-33,35588192;-70,69429854;Generador Industrial;;;403,82;1;Eliminación;3;Disposición final;11;Relleno sanitario;Mezclas de residuos municipales;200301;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Otros residuos municipales;3;97614;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;San Bernardo;Metropolitana de Santiago;Chile
2014;0;6918;EXPORTADORA UNIFRUTTI TRADERS LTDA;89258800-7;UNIFRUTTI PLANTA LINARES;Producción agropecuaria;;Actividades de apoyo a la agricultura;A0161;Actividades de apoyo a la agricultura;A016100;Maule;7;Linares;Linares;7401;-35,82209551;-71,64177085;Generador Industrial;;;402,42;;;;;;;Mezclas de residuos municipales;200301;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Otros residuos municipales;3;;;SOC. ARQUITECTURA Y PAISAJISMO LTDA.;;;
2014;0;51756;ADM.CENTRO COM.ALTO LAS CONDES LTDA;78408990-8;S514;Comercio minorista;;Venta al por menor de computadores, equipo periférico, programas informáticos y equipo de telecomunicaciones en comercios especializados;G4741;Venta al por menor de computadores, equipo periférico, programas informáticos y equipo de telecom.;G474100;Metropolitana de Santiago;13;Santiago;Lo Barnechea;13115;-33,35839877;-70,51715397;Generador Industrial;;;400,98;1;Eliminación;3;Disposición final;11;Relleno sanitario;Mezclas de residuos municipales;200301;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;Otros residuos municipales;3;5453436;RELLENO SANITARIO LOS ANGELES;DEMARCO S A;Quilicura;Metropolitana de Santiago;Chile
